Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,FlightDate,Distance,LateAircraftDelay,WeatherDelay,day,month,hour,OriginCity,temperature_c,precip_mm,cloud_pct,wind_speed_mps
EWR,LAX,1445,1758,167.0,2025-01-27,2454.0,149.0,0.0,27,1,14,New York,1.7,0.0,0.0,15.4
MIA,IAH,1649,1854,106.0,2025-01-27,964.0,95.0,0.0,27,1,16,Miami,23.4,0.0,100.0,8.7
MIA,EWR,1018,1324,92.0,2025-01-27,1085.0,78.0,0.0,27,1,10,Miami,21.1,0.0,75.0,9.3
IAH,MIA,1210,1547,138.0,2025-01-27,964.0,106.0,0.0,27,1,12,Houston,11.6,0.1,100.0,13.6
EWR,DTW,1930,2133,105.0,2025-01-27,488.0,80.0,0.0,27,1,19,New York,-0.3,0.0,0.0,15.3
BOS,IAH,1330,1710,40.0,2025-01-27,1597.0,0.0,0.0,27,1,13,Boston,0.5,0.0,0.0,18.1
DEN,CMH,1754,2249,55.0,2025-01-27,1154.0,45.0,0.0,27,1,17,Denver,4.3,0.0,0.0,0.2
EWR,MIA,2044,2359,121.0,2025-01-27,1085.0,0.0,0.0,27,1,20,New York,-0.8,0.0,0.0,15.5
IAH,LAS,1230,1403,51.0,2025-01-27,1222.0,26.0,0.0,27,1,12,Houston,11.6,0.1,100.0,13.6
DEN,DTW,1004,1448,41.0,2025-01-27,1123.0,0.0,0.0,27,1,10,Denver,-14.0,0.0,0.0,7.1
ORD,SAT,915,1229,54.0,2025-01-27,1041.0,25.0,0.0,27,1,9,Chicago,-7.7,0.0,0.0,18.4
IAH,LAS,940,1113,11.0,2025-01-27,1222.0,0.0,0.0,27,1,9,Houston,11.7,0.1,100.0,12.5
DEN,LGA,1740,2323,25.0,2025-01-27,1620.0,0.0,0.0,27,1,17,Denver,4.3,0.0,0.0,0.2
DEN,DCA,940,1459,-3.0,2025-01-27,1476.0,0.0,0.0,27,1,9,Denver,-14.7,0.0,0.0,5.9
DEN,OGG,1200,1631,91.0,2025-01-27,3302.0,0.0,0.0,27,1,12,Denver,-10.2,0.0,0.0,7.0
ATL,EWR,1911,2129,7.0,2025-01-27,746.0,0.0,0.0,27,1,19,Atlanta,10.1,0.2,100.0,13.2
IAH,DTW,1200,1553,28.0,2025-01-27,1075.0,0.0,0.0,27,1,12,Houston,11.6,0.1,100.0,13.6
BOS,EWR,1750,1916,11.0,2025-01-27,200.0,0.0,0.0,27,1,17,Boston,0.8,0.0,12.0,18.5
ORD,IAH,1750,2050,33.0,2025-01-27,925.0,0.0,0.0,27,1,17,Chicago,2.8,0.0,99.0,24.2
EWR,SJU,1941,36,18.0,2025-01-27,1608.0,0.0,0.0,27,1,19,New York,-0.3,0.0,0.0,15.3
DEN,SLC,800,940,-3.0,2025-01-27,391.0,0.0,0.0,27,1,8,Denver,-15.2,0.0,0.0,4.5
DEN,BZN,1150,1342,36.0,2025-01-27,524.0,20.0,0.0,27,1,11,Denver,-12.9,0.0,0.0,7.2
DEN,ORD,1555,1931,-3.0,2025-01-27,888.0,0.0,0.0,27,1,15,Denver,0.9,0.0,0.0,6.9
DEN,PHX,745,949,-3.0,2025-01-27,602.0,0.0,0.0,27,1,7,Denver,-15.6,0.0,0.0,4.2
IAH,MFE,1950,2116,34.0,2025-01-27,316.0,0.0,0.0,27,1,19,Houston,16.1,0.0,93.0,0.4
IAH,SNA,930,1119,279.0,2025-01-27,1346.0,0.0,0.0,27,1,9,Houston,11.7,0.1,100.0,12.5
DEN,AUS,2043,2358,31.0,2025-01-27,775.0,0.0,0.0,27,1,20,Denver,-1.7,0.0,0.0,7.0
DEN,PHX,2057,2300,31.0,2025-01-27,602.0,0.0,0.0,27,1,20,Denver,-1.7,0.0,0.0,7.0
DEN,HDN,1325,1427,51.0,2025-01-27,141.0,30.0,0.0,27,1,13,Denver,-6.5,0.0,0.0,7.9
IAH,AUS,1202,1308,-6.0,2025-01-27,140.0,0.0,0.0,27,1,12,Houston,11.6,0.1,100.0,13.6
DEN,DRO,1115,1229,113.0,2025-01-27,251.0,0.0,0.0,27,1,11,Denver,-12.9,0.0,0.0,7.2
ORD,MCI,2005,2150,42.0,2025-01-27,403.0,29.0,0.0,27,1,20,Chicago,2.4,0.0,100.0,24.0
ORD,ORF,1820,2130,108.0,2025-01-27,717.0,51.0,0.0,27,1,18,Chicago,2.7,0.0,95.0,24.0
DEN,SAT,1005,1321,51.0,2025-01-27,794.0,45.0,0.0,27,1,10,Denver,-14.0,0.0,0.0,7.1
MIA,EWR,1502,1816,53.0,2025-01-27,1085.0,20.0,0.0,27,1,15,Miami,23.8,0.0,64.0,6.3
ORD,SLC,1330,1607,27.0,2025-01-27,1250.0,12.0,0.0,27,1,13,Chicago,-1.8,0.0,1.0,21.8
DEN,AUS,1003,1317,52.0,2025-01-27,775.0,0.0,0.0,27,1,10,Denver,-14.0,0.0,0.0,7.1
MIA,IAH,845,1050,94.0,2025-01-27,964.0,88.0,0.0,27,1,8,Miami,19.0,0.0,19.0,10.3
ORD,DSM,2020,2152,40.0,2025-01-27,299.0,24.0,0.0,27,1,20,Chicago,2.4,0.0,100.0,24.0
